ticker,buy_date,buy_price,target_pct,stop_pct,target_price,stop_price,exit_date,exit_price,exit_reason,holding_trading_days,return_pct,buy_rule_hit,buy_badges,regime_combined,regime_version,filter_summary
DAPP,2024-02-09,8.828782,15.00,-5.00,10.153099,8.387343,2024-02-14,10.153099,TARGET_+15%,3,15.000000,USA_PASS_FP80;USA_PASS_DUAL,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
WGMI,2024-02-09,16.939844,15.00,-5.00,19.480821,16.092852,2024-02-14,19.480821,TARGET_+15%,3,15.000000,USA_PASS_FP80;USA_PASS_DUAL,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_ELITE""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
NAMS,2024-02-21,21.559999,15.00,-5.00,24.793999,20.481999,2024-02-28,24.793999,TARGET_+15%,5,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
SQM,2024-02-22,42.947361,15.00,-5.00,49.389465,40.799993,2024-02-29,49.389465,TARGET_+15%,5,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
REVB,2024-02-29,175.199997,15.00,-5.00,201.479996,166.439997,2024-03-01,166.439997,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_ELITE""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
VIAV,2024-03-01,9.730000,15.00,-5.00,11.189499,9.243500,2024-03-06,11.189499,TARGET_+15%,3,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
ANVS,2024-03-19,8.920000,15.00,-5.00,10.258000,8.474000,2024-03-20,10.258000,TARGET_+15%,1,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_STRONG"",""BULL_DIV_IN_LAST_20_DAYS""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
NUWE,2024-05-28,411.600006,15.00,-5.00,473.340007,391.020006,2024-05-29,391.020006,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
CNTA,2024-07-10,9.900000,15.00,-5.00,11.385000,9.405000,2024-07-11,9.405000,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_STRONG""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
CONL,2024-07-16,56.860001,15.00,-5.00,65.389001,54.017001,2024-07-17,54.017001,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_PREMIUM""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
ONC,2024-07-17,153.639999,15.00,-5.00,176.685999,145.957999,2024-08-07,176.685999,TARGET_+15%,15,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_STRONG""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
SFIX,2024-07-23,4.440000,15.00,-5.00,5.106000,4.218000,2024-08-02,4.218000,STOP_-5%,8,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_ELITE""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
MARA,2024-08-26,18.559999,15.00,-5.00,21.343999,17.631999,2024-08-27,17.631999,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
NRDS,2024-08-26,12.490000,15.00,-5.00,14.363500,11.865500,2024-10-10,11.865500,STOP_-5%,32,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_SOFT"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
CLYM,2024-08-30,6.990000,15.00,-5.00,8.038500,6.640500,2024-09-09,8.038500,TARGET_+15%,5,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED"",""BULL_DIV_IN_LAST_20_DAYS""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
KROS,2024-09-04,52.930000,15.00,-5.00,60.869500,50.283500,2024-10-02,60.869500,TARGET_+15%,20,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_STRONG""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
SYM,2024-10-11,29.930000,15.00,-5.00,34.419500,28.433500,2024-10-14,28.433500,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_STRONG""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
FUTU,2024-11-06,94.428436,15.00,-5.00,108.592702,89.707014,2024-11-07,108.592702,TARGET_+15%,1,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_PREMIUM""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
MOMO,2024-11-08,6.563509,15.00,-5.00,7.548035,6.235333,2024-11-21,6.235333,STOP_-5%,9,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
VUZI,2025-02-03,4.250000,15.00,-5.00,4.887500,4.037500,2025-02-07,4.037500,STOP_-5%,4,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_ELITE""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
DBI,2025-07-03,2.997423,15.00,-5.00,3.447036,2.847552,2025-07-07,2.847552,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
XTIA,2025-07-18,2.230000,15.00,-5.00,2.564500,2.118500,2025-07-22,2.118500,STOP_-5%,2,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_ELITE""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
SMX,2025-09-29,15.494505,15.00,-5.00,17.818681,14.719780,2025-10-02,17.818681,TARGET_+15%,3,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
VSTM,2025-10-15,9.400000,15.00,-5.00,10.810000,8.930000,2025-10-20,8.930000,STOP_-5%,3,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_ELITE""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
FEIM,2025-12-04,29.910000,15.00,-5.00,34.396500,28.414500,2025-12-09,34.396500,TARGET_+15%,3,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
MRAL,2025-12-10,8.290000,15.00,-5.00,9.533500,7.875500,2025-12-11,7.875500,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
SLNH,2025-12-11,2.110000,15.00,-5.00,2.426500,2.004500,2025-12-12,2.004500,STOP_-5%,1,-5.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_ELITE""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
TXG,2026-01-05,18.320000,15.00,-5.00,21.068000,17.404000,2026-01-12,21.068000,TARGET_+15%,5,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_SOFT"",""DUAL_QUALIFIED""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
KZIA,2026-01-22,7.000000,15.00,-5.00,8.050000,6.650000,2026-01-26,8.050000,TARGET_+15%,2,15.000000,USA_PASS_FP80;USA_PASS_DUAL;BUY_BULL_PASS_FAIL10_UP20_V2,"[""downtrend_entry_type=SLOW_STRUCTURAL"",""DUAL_ELITE"",""BULL_DIV_IN_LAST_20_DAYS""]",BULL,REGIME_USA_MA50_MA200_CLOSE_CRASH2_V1,USA_PASS_FP80 + USA_PASS_DUAL + (SLOW_SOFT or SLOW_STRUCTURAL) + NO_LOW_VOLUME
